,object,relation,subject
15744,"cloudy, low of 50F, high of 70F",saturday,new york
15746,"dew, low of 40F, high of 50F",monday,san mateo
15748,"misty, low of 20F, high of 30F",wednesday,san mateo
15749,"dry, low of 50F, high of 60F",thursday,san mateo
15750,"dew, low of 80F, high of 90F",friday,san mateo
15751,"hail, low of 70F, high of 90F",saturday,san mateo
15752,"raining, low of 20F, high of 30F",sunday,san mateo
15753,"dew, low of 30F, high of 50F",monday,exeter
15755,"rain, low of 40F, high of 60F",wednesday,exeter
15756,"rain, low of 40F, high of 60F",thursday,exeter
15758,"hot, low of 80F, high of 90F",saturday,exeter
15759,"snow, low of 80F, high of 100F",sunday,exeter
15761,"raining, low of 20F, high of 40F",tuesday,cleveland
15762,"rain, low of 70F, high of 90F",wednesday,cleveland
15763,"foggy, low of 30F, high of 50F",thursday,cleveland
15764,"misty, low of 50F, high of 70F",friday,cleveland
15765,"overcast, low of 50F, high of 60F",saturday,cleveland
15766,"overcast, low of 20F, high of 40F",sunday,cleveland
15814,8 miles,distance,The Westin
15839,"cloudy, low of 30F, high of 50F",monday,alameda
15840,"clear skies, low of 50F, high of 60F",tuesday,alameda
15841,"overcast, low of 40F, high of 50F",wednesday,alameda
15842,"windy, low of 60F, high of 80F",thursday,alameda
15843,"dry, low of 50F, high of 60F",friday,alameda
15845,"raining, low of 60F, high of 70F",sunday,alameda
15846,"blizzard, low of 40F, high of 50F",monday,mountain view
15847,"overcast, low of 50F, high of 70F",tuesday,mountain view
15849,"clear skies, low of 50F, high of 60F",thursday,mountain view
15850,"cloudy, low of 40F, high of 60F",friday,mountain view
15851,"windy, low of 30F, high of 50F",saturday,mountain view
15852,"hot, low of 70F, high of 90F",sunday,mountain view
15853,"clear skies, low of 80F, high of 90F",monday,new york
15854,"dry, low of 30F, high of 50F",tuesday,new york
15855,"snow, low of 30F, high of 40F",wednesday,new york
15856,"drizzle, low of 30F, high of 40F",thursday,new york
15857,"windy, low of 30F, high of 50F",friday,new york
15858,"raining, low of 30F, high of 40F",saturday,new york
15859,"stormy, low of 60F, high of 70F",sunday,new york
15860,"stormy, low of 80F, high of 100F",monday,grand rapids
15861,"hail, low of 90F, high of 100F",tuesday,grand rapids
15863,"drizzle, low of 70F, high of 80F",thursday,grand rapids
15864,"foggy, low of 90F, high of 100F",friday,grand rapids
15865,"clear skies, low of 50F, high of 70F",saturday,grand rapids
15867,"overcast, low of 60F, high of 70F",monday,oakland
15869,"rain, low of 50F, high of 70F",wednesday,oakland
15870,"cloudy, low of 60F, high of 70F",thursday,oakland
15872,"drizzle, low of 50F, high of 70F",saturday,oakland
15873,"overcast, low of 20F, high of 40F",sunday,oakland
15874,"overcast, low of 30F, high of 40F",monday,compton
15875,"rain, low of 80F, high of 90F",tuesday,compton
15876,"overcast, low of 20F, high of 30F",wednesday,compton
15878,"snow, low of 30F, high of 40F",friday,compton
15881,"hail, low of 80F, high of 100F",monday,corona
15882,"snow, low of 70F, high of 90F",tuesday,corona
15883,"clear skies, low of 40F, high of 60F",wednesday,corona
15884,"humid, low of 80F, high of 100F",thursday,corona
15886,"rain, low of 60F, high of 70F",saturday,corona
15887,"raining, low of 70F, high of 80F",sunday,corona
15889,heavy traffic,traffic_info,Willows Market
15890,3 miles,distance,Willows Market
15942,"clear skies, low of 30F, high of 40F",monday,atherton
15943,"clear skies, low of 80F, high of 100F",tuesday,atherton
15944,"raining, low of 60F, high of 70F",wednesday,atherton
15945,"raining, low of 40F, high of 60F",thursday,atherton
15946,"rain, low of 50F, high of 70F",friday,atherton
15947,"rain, low of 40F, high of 50F",saturday,atherton
15949,"hail, low of 70F, high of 80F",monday,cleveland
15950,"clear skies, low of 90F, high of 100F",tuesday,cleveland
15951,"foggy, low of 80F, high of 90F",wednesday,cleveland
15952,"drizzle, low of 70F, high of 80F",thursday,cleveland
15954,"rain, low of 40F, high of 60F",saturday,cleveland
15957,"frost, low of 20F, high of 40F",tuesday,mountain view
15958,"rain, low of 60F, high of 70F",wednesday,mountain view
15959,"frost, low of 30F, high of 50F",thursday,mountain view
15960,"frost, low of 40F, high of 60F",friday,mountain view
15963,"raining, low of 20F, high of 40F",monday,camarillo
15964,"misty, low of 20F, high of 40F",tuesday,camarillo
15965,"foggy, low of 90F, high of 100F",wednesday,camarillo
15966,"humid, low of 80F, high of 90F",thursday,camarillo
15967,"warm, low of 90F, high of 100F",friday,camarillo
15968,"foggy, low of 80F, high of 90F",saturday,camarillo
15970,"dew, low of 30F, high of 50F",monday,new york
15971,"stormy, low of 80F, high of 100F",tuesday,new york
15973,"dry, low of 70F, high of 80F",thursday,new york
15975,"overcast, low of 50F, high of 70F",saturday,new york
15976,"windy, low of 40F, high of 60F",sunday,new york
15979,"cloudy, low of 20F, high of 30F",wednesday,carson
15980,"cloudy, low of 90F, high of 100F",thursday,carson
15981,"overcast, low of 40F, high of 50F",friday,carson
15982,"cloudy, low of 30F, high of 50F",saturday,carson
15983,"stormy, low of 60F, high of 70F",sunday,carson
15984,"hot, low of 70F, high of 80F",monday,corona
15985,"drizzle, low of 20F, high of 30F",tuesday,corona
15986,"rain, low of 30F, high of 40F",wednesday,corona
15987,"dry, low of 70F, high of 90F",thursday,corona
15988,"misty, low of 90F, high of 100F",friday,corona
15989,"warm, low of 80F, high of 90F",saturday,corona
15990,"overcast, low of 30F, high of 40F",sunday,corona
16036,"foggy, low of 60F, high of 70F",monday,camarillo
16037,"overcast, low of 80F, high of 100F",tuesday,camarillo
16038,"cloudy, low of 50F, high of 70F",wednesday,camarillo
16039,"foggy, low of 30F, high of 50F",thursday,camarillo
16040,"overcast, low of 70F, high of 90F",friday,camarillo
16041,"frost, low of 40F, high of 60F",saturday,camarillo
16042,"humid, low of 50F, high of 70F",sunday,camarillo
16043,"dew, low of 20F, high of 40F",monday,alameda
16044,"cloudy, low of 80F, high of 100F",tuesday,alameda
16045,"blizzard, low of 50F, high of 60F",wednesday,alameda
16046,"drizzle, low of 40F, high of 60F",thursday,alameda
16047,"raining, low of 50F, high of 60F",friday,alameda
16050,"cloudy, low of 30F, high of 50F",monday,inglewood
16052,"rain, low of 40F, high of 50F",wednesday,inglewood
16053,"cloudy, low of 30F, high of 50F",thursday,inglewood
16054,"humid, low of 60F, high of 70F",friday,inglewood
16056,"warm, low of 60F, high of 80F",sunday,inglewood
16057,"clear skies, low of 90F, high of 100F",monday,brentwood
16058,"humid, low of 70F, high of 90F",tuesday,brentwood
16059,"hot, low of 60F, high of 70F",wednesday,brentwood
16060,"hail, low of 70F, high of 80F",thursday,brentwood
16061,"stormy, low of 80F, high of 100F",friday,brentwood
16063,"hail, low of 50F, high of 70F",sunday,brentwood
16064,"frost, low of 20F, high of 30F",monday,oakland
16065,"foggy, low of 70F, high of 80F",tuesday,oakland
16066,"stormy, low of 60F, high of 70F",wednesday,oakland
16067,"rain, low of 40F, high of 50F",thursday,oakland
16068,"dew, low of 20F, high of 30F",friday,oakland
16069,"clear skies, low of 40F, high of 60F",saturday,oakland
16070,"rain, low of 20F, high of 30F",sunday,oakland
16071,"cloudy, low of 90F, high of 100F",monday,corona
16072,"cloudy, low of 90F, high of 100F",tuesday,corona
16074,"misty, low of 50F, high of 60F",thursday,corona
16075,"windy, low of 80F, high of 90F",friday,corona
16076,"snow, low of 50F, high of 60F",saturday,corona
16077,"overcast, low of 50F, high of 70F",sunday,corona
16078,"drizzle, low of 60F, high of 70F",monday,alhambra
16079,"hail, low of 30F, high of 40F",tuesday,alhambra
16080,"snow, low of 80F, high of 90F",wednesday,alhambra
16081,"drizzle, low of 80F, high of 100F",thursday,alhambra
16082,"misty, low of 80F, high of 90F",friday,alhambra
16084,"snow, low of 30F, high of 50F",sunday,alhambra
16109,"clear skies, low of 40F, high of 60F",monday,corona
16110,"drizzle, low of 80F, high of 100F",tuesday,corona
16111,"windy, low of 80F, high of 90F",wednesday,corona
16112,"hail, low of 80F, high of 90F",thursday,corona
16113,"drizzle, low of 30F, high of 40F",friday,corona
16114,"windy, low of 90F, high of 100F",saturday,corona
16115,"overcast, low of 40F, high of 60F",sunday,corona
16116,"snow, low of 20F, high of 40F",monday,inglewood
16118,"cloudy, low of 20F, high of 30F",wednesday,inglewood
16120,"humid, low of 50F, high of 70F",friday,inglewood
16121,"hot, low of 70F, high of 90F",saturday,inglewood
16122,"blizzard, low of 50F, high of 60F",sunday,inglewood
16123,"foggy, low of 80F, high of 90F",monday,compton
16124,"dry, low of 80F, high of 90F",tuesday,compton
16125,"snow, low of 80F, high of 90F",wednesday,compton
16127,"stormy, low of 90F, high of 100F",friday,compton
16128,"rain, low of 60F, high of 70F",saturday,compton
16130,"rain, low of 90F, high of 100F",monday,new york
16132,"humid, low of 60F, high of 80F",wednesday,new york
16133,"stormy, low of 20F, high of 30F",thursday,new york
16134,"snow, low of 30F, high of 50F",friday,new york
16135,"rain, low of 40F, high of 50F",saturday,new york
16136,"stormy, low of 30F, high of 40F",sunday,new york
16137,"hail, low of 20F, high of 40F",monday,grand rapids
16139,"foggy, low of 60F, high of 80F",wednesday,grand rapids
16140,"windy, low of 30F, high of 50F",thursday,grand rapids
16144,"windy, low of 80F, high of 90F",monday,alhambra
16145,"overcast, low of 20F, high of 40F",tuesday,alhambra
16146,"warm, low of 60F, high of 80F",wednesday,alhambra
16147,"cloudy, low of 90F, high of 100F",thursday,alhambra
16148,"snow, low of 30F, high of 40F",friday,alhambra
16149,"drizzle, low of 40F, high of 50F",saturday,alhambra
16150,"hail, low of 70F, high of 80F",sunday,alhambra
16151,"overcast, low of 30F, high of 40F",monday,brentwood
16152,"raining, low of 60F, high of 80F",tuesday,brentwood
16153,"warm, low of 70F, high of 80F",wednesday,brentwood
16155,"snow, low of 60F, high of 80F",friday,brentwood
16156,"foggy, low of 50F, high of 70F",saturday,brentwood
16157,"stormy, low of 80F, high of 90F",sunday,brentwood
16243,brother,party,doctor appointment
16265,the 9th,date,tennis activity
16290,8 miles,distance,Shell
16300,"windy, low of 20F, high of 30F",monday,alameda
16301,"overcast, low of 60F, high of 80F",tuesday,alameda
16302,"dry, low of 30F, high of 40F",wednesday,alameda
16303,"drizzle, low of 80F, high of 90F",thursday,alameda
16304,"misty, low of 60F, high of 80F",friday,alameda
16305,"warm, low of 80F, high of 100F",saturday,alameda
16306,"snow, low of 20F, high of 30F",sunday,alameda
16307,"humid, low of 60F, high of 80F",monday,durham
16308,"humid, low of 60F, high of 80F",tuesday,durham
16309,"foggy, low of 50F, high of 60F",wednesday,durham
16310,"clear skies, low of 30F, high of 40F",thursday,durham
16311,"windy, low of 70F, high of 90F",friday,durham
16312,"dry, low of 50F, high of 70F",saturday,durham
16313,"clear skies, low of 60F, high of 70F",sunday,durham
16314,"overcast, low of 80F, high of 100F",monday,new york
16317,"cloudy, low of 50F, high of 60F",thursday,new york
16321,"raining, low of 20F, high of 30F",monday,cleveland
16322,"clear skies, low of 70F, high of 90F",tuesday,cleveland
16326,"blizzard, low of 20F, high of 40F",saturday,cleveland
16327,"cloudy, low of 30F, high of 40F",sunday,cleveland
16328,"dew, low of 80F, high of 90F",monday,san francisco
16329,"snow, low of 90F, high of 100F",tuesday,san francisco
16330,"cloudy, low of 60F, high of 70F",wednesday,san francisco
16331,"hail, low of 50F, high of 60F",thursday,san francisco
16332,"dew, low of 40F, high of 50F",friday,san francisco
16335,"raining, low of 60F, high of 80F",monday,menlo park
16337,"raining, low of 60F, high of 80F",wednesday,menlo park
16338,"hot, low of 60F, high of 70F",thursday,menlo park
16339,"windy, low of 30F, high of 50F",friday,menlo park
16340,"blizzard, low of 30F, high of 40F",saturday,menlo park
16341,"misty, low of 20F, high of 30F",sunday,menlo park
16342,"blizzard, low of 40F, high of 50F",monday,downtown chicago
16343,"windy, low of 60F, high of 70F",tuesday,downtown chicago
16345,"rain, low of 80F, high of 90F",thursday,downtown chicago
16346,"overcast, low of 20F, high of 30F",friday,downtown chicago
16347,"hot, low of 70F, high of 80F",saturday,downtown chicago
16348,"overcast, low of 60F, high of 80F",sunday,downtown chicago
16363,3 miles,distance,Topanga Mall
16415,"cloudy, low of 50F, high of 60F",monday,san jose
16416,"snow, low of 40F, high of 60F",tuesday,san jose
16417,"blizzard, low of 20F, high of 30F",wednesday,san jose
16418,"drizzle, low of 60F, high of 70F",thursday,san jose
16419,"clear skies, low of 40F, high of 60F",friday,san jose
16420,"blizzard, low of 40F, high of 60F",saturday,san jose
16421,"windy, low of 50F, high of 60F",sunday,san jose
16422,"dry, low of 20F, high of 30F",monday,seattle
16424,"cloudy, low of 50F, high of 60F",wednesday,seattle
16425,"overcast, low of 70F, high of 80F",thursday,seattle
16428,"clear skies, low of 80F, high of 90F",sunday,seattle
16429,"raining, low of 60F, high of 80F",monday,new york
16432,"dry, low of 90F, high of 100F",thursday,new york
16433,"foggy, low of 70F, high of 80F",friday,new york
16434,"overcast, low of 90F, high of 100F",saturday,new york
16437,"foggy, low of 80F, high of 90F",tuesday,san mateo
16439,"clear skies, low of 90F, high of 100F",thursday,san mateo
16440,"clear skies, low of 50F, high of 70F",friday,san mateo
16443,"raining, low of 70F, high of 80F",monday,exeter
16444,"overcast, low of 90F, high of 100F",tuesday,exeter
16445,"snow, low of 50F, high of 70F",wednesday,exeter
16447,"raining, low of 70F, high of 80F",friday,exeter
16448,"hot, low of 70F, high of 80F",saturday,exeter
16449,"drizzle, low of 60F, high of 80F",sunday,exeter
16450,"dry, low of 30F, high of 50F",monday,boston
16452,"raining, low of 70F, high of 90F",wednesday,boston
16453,"hot, low of 70F, high of 80F",thursday,boston
16454,"rain, low of 20F, high of 40F",friday,boston
16455,"clear skies, low of 90F, high of 100F",saturday,boston
16456,"overcast, low of 80F, high of 100F",sunday,boston
16457,"foggy, low of 40F, high of 60F",monday,mountain view
16458,"humid, low of 90F, high of 100F",tuesday,mountain view
16459,"foggy, low of 70F, high of 80F",wednesday,mountain view
16460,"raining, low of 80F, high of 90F",thursday,mountain view
16461,"windy, low of 50F, high of 60F",friday,mountain view
16462,"snow, low of 60F, high of 80F",saturday,mountain view
16463,"windy, low of 50F, high of 60F",sunday,mountain view
16464,"raining, low of 20F, high of 30F",monday,brentwood
16465,"windy, low of 30F, high of 40F",tuesday,brentwood
16466,"rain, low of 90F, high of 100F",wednesday,brentwood
16467,"windy, low of 20F, high of 40F",thursday,brentwood
16468,"windy, low of 80F, high of 100F",friday,brentwood
16469,"raining, low of 80F, high of 90F",saturday,brentwood
16470,"stormy, low of 30F, high of 50F",sunday,brentwood
16471,"hail, low of 80F, high of 100F",monday,inglewood
16472,"overcast, low of 20F, high of 30F",tuesday,inglewood
16473,"blizzard, low of 50F, high of 60F",wednesday,inglewood
16475,"overcast, low of 90F, high of 100F",friday,inglewood
16476,"snow, low of 60F, high of 70F",saturday,inglewood
16478,"windy, low of 70F, high of 80F",monday,mountain view
16479,"cloudy, low of 20F, high of 30F",tuesday,mountain view
16480,"overcast, low of 40F, high of 60F",wednesday,mountain view
16481,"raining, low of 50F, high of 60F",thursday,mountain view
16483,"overcast, low of 60F, high of 70F",saturday,mountain view
16484,"foggy, low of 70F, high of 90F",sunday,mountain view
16485,"windy, low of 20F, high of 40F",monday,downtown chicago
16486,"hot, low of 60F, high of 80F",tuesday,downtown chicago
16487,"snow, low of 90F, high of 100F",wednesday,downtown chicago
16488,"blizzard, low of 20F, high of 40F",thursday,downtown chicago
16490,"snow, low of 20F, high of 40F",saturday,downtown chicago
16491,"snow, low of 90F, high of 100F",sunday,downtown chicago
16492,"foggy, low of 20F, high of 30F",monday,danville
16493,"foggy, low of 20F, high of 40F",tuesday,danville
16494,"hail, low of 80F, high of 90F",wednesday,danville
16495,"hot, low of 60F, high of 70F",thursday,danville
16496,"foggy, low of 80F, high of 100F",friday,danville
16497,"raining, low of 20F, high of 30F",saturday,danville
16498,"drizzle, low of 50F, high of 70F",sunday,danville
16499,"clear skies, low of 20F, high of 30F",monday,fresno
16500,"overcast, low of 70F, high of 80F",tuesday,fresno
16501,"stormy, low of 40F, high of 50F",wednesday,fresno
16502,"overcast, low of 90F, high of 100F",thursday,fresno
16503,"hail, low of 30F, high of 40F",friday,fresno
16504,"frost, low of 30F, high of 50F",saturday,fresno
16505,"hot, low of 80F, high of 90F",sunday,fresno
16506,"overcast, low of 80F, high of 90F",monday,exeter
16507,"overcast, low of 50F, high of 70F",tuesday,exeter
16508,"dry, low of 60F, high of 80F",wednesday,exeter
16510,"windy, low of 30F, high of 40F",friday,exeter
16511,"snow, low of 20F, high of 40F",saturday,exeter
16512,"cloudy, low of 60F, high of 70F",sunday,exeter
16562,the 13th,date,tennis activity
16583,"hot, low of 60F, high of 80F",monday,san francisco
16584,"dry, low of 20F, high of 40F",tuesday,san francisco
16587,"dew, low of 90F, high of 100F",friday,san francisco
16588,"dew, low of 50F, high of 60F",saturday,san francisco
16589,"windy, low of 50F, high of 70F",sunday,san francisco
16590,"misty, low of 40F, high of 60F",monday,camarillo
16592,"dry, low of 80F, high of 100F",wednesday,camarillo
16593,"misty, low of 50F, high of 60F",thursday,camarillo
16594,"snow, low of 60F, high of 70F",friday,camarillo
16595,"windy, low of 50F, high of 60F",saturday,camarillo
16596,"drizzle, low of 40F, high of 50F",sunday,camarillo
16599,"foggy, low of 70F, high of 80F",wednesday,new york
16601,"drizzle, low of 60F, high of 80F",friday,new york
16602,"hail, low of 60F, high of 70F",saturday,new york
16603,"blizzard, low of 40F, high of 60F",sunday,new york
16605,"hail, low of 90F, high of 100F",tuesday,fresno
16606,"windy, low of 40F, high of 50F",wednesday,fresno
16607,"clear skies, low of 50F, high of 70F",thursday,fresno
16608,"dry, low of 50F, high of 60F",friday,fresno
16611,"snow, low of 20F, high of 40F",monday,brentwood
16612,"blizzard, low of 20F, high of 40F",tuesday,brentwood
16613,"rain, low of 70F, high of 80F",wednesday,brentwood
16614,"warm, low of 60F, high of 70F",thursday,brentwood
16615,"dew, low of 20F, high of 40F",friday,brentwood
16616,"raining, low of 40F, high of 60F",saturday,brentwood
16617,"snow, low of 50F, high of 70F",sunday,brentwood
16619,"raining, low of 20F, high of 30F",tuesday,grand rapids
16620,"dry, low of 40F, high of 60F",wednesday,grand rapids
16621,"drizzle, low of 50F, high of 70F",thursday,grand rapids
16622,"misty, low of 70F, high of 80F",friday,grand rapids
16623,"cloudy, low of 50F, high of 60F",saturday,grand rapids
16625,"dry, low of 30F, high of 50F",monday,inglewood
16626,"misty, low of 80F, high of 90F",tuesday,inglewood
16627,"stormy, low of 20F, high of 30F",wednesday,inglewood
16628,"snow, low of 50F, high of 60F",thursday,inglewood
16630,"clear skies, low of 50F, high of 60F",saturday,inglewood
16631,"rain, low of 70F, high of 90F",sunday,inglewood
16656,the 12th,date,doctor appointment
16672,"rain, low of 70F, high of 90F",monday,grand rapids
16676,"clear skies, low of 60F, high of 80F",friday,grand rapids
16677,"warm, low of 40F, high of 60F",saturday,grand rapids
16678,"hot, low of 30F, high of 40F",sunday,grand rapids
16679,"clear skies, low of 70F, high of 90F",monday,inglewood
16680,"raining, low of 90F, high of 100F",tuesday,inglewood
16681,"windy, low of 90F, high of 100F",wednesday,inglewood
16682,"foggy, low of 80F, high of 90F",thursday,inglewood
16683,"raining, low of 90F, high of 100F",friday,inglewood
16684,"clear skies, low of 90F, high of 100F",saturday,inglewood
16685,"snow, low of 90F, high of 100F",sunday,inglewood
16686,"windy, low of 40F, high of 60F",monday,san francisco
16687,"raining, low of 80F, high of 100F",tuesday,san francisco
16690,"hot, low of 30F, high of 40F",friday,san francisco
16691,"clear skies, low of 60F, high of 70F",saturday,san francisco
16692,"raining, low of 90F, high of 100F",sunday,san francisco
16693,"hot, low of 80F, high of 100F",monday,seattle
16694,"cloudy, low of 30F, high of 40F",tuesday,seattle
16695,"windy, low of 30F, high of 40F",wednesday,seattle
16696,"warm, low of 70F, high of 80F",thursday,seattle
16697,"warm, low of 70F, high of 90F",friday,seattle
16698,"clear skies, low of 30F, high of 40F",saturday,seattle
16699,"windy, low of 90F, high of 100F",sunday,seattle
16700,"raining, low of 80F, high of 100F",monday,manhattan
16701,"clear skies, low of 60F, high of 70F",tuesday,manhattan
16702,"hot, low of 90F, high of 100F",wednesday,manhattan
16703,"foggy, low of 40F, high of 60F",thursday,manhattan
16704,"raining, low of 30F, high of 40F",friday,manhattan
16705,"clear skies, low of 30F, high of 40F",saturday,manhattan
16708,"clear skies, low of 60F, high of 70F",tuesday,mountain view
16709,"clear skies, low of 90F, high of 100F",wednesday,mountain view
16710,"snow, low of 40F, high of 60F",thursday,mountain view
16711,"warm, low of 30F, high of 40F",friday,mountain view
16712,"clear skies, low of 60F, high of 70F",saturday,mountain view
16713,"warm, low of 60F, high of 80F",sunday,mountain view
16714,"overcast, low of 30F, high of 40F",monday,durham
16716,"cloudy, low of 30F, high of 40F",wednesday,durham
16719,"snow, low of 40F, high of 60F",saturday,durham
16720,"windy, low of 40F, high of 60F",sunday,durham
16721,"stormy, low of 60F, high of 80F",monday,oakland
16722,"cloudy, low of 30F, high of 50F",tuesday,oakland
16723,"stormy, low of 30F, high of 50F",wednesday,oakland
16724,"snow, low of 50F, high of 70F",thursday,oakland
16725,"rain, low of 90F, high of 100F",friday,oakland
16726,"foggy, low of 80F, high of 100F",saturday,oakland
16727,"drizzle, low of 90F, high of 100F",sunday,oakland
16730,"misty, low of 60F, high of 70F",wednesday,menlo park
16732,"cloudy, low of 30F, high of 50F",friday,menlo park
16733,"windy, low of 20F, high of 40F",saturday,menlo park
16734,"foggy, low of 90F, high of 100F",sunday,menlo park
16735,"warm, low of 90F, high of 100F",monday,manhattan
16736,"dew, low of 50F, high of 70F",tuesday,manhattan
16737,"snow, low of 70F, high of 90F",wednesday,manhattan
16738,"blizzard, low of 50F, high of 60F",thursday,manhattan
16740,"overcast, low of 50F, high of 70F",saturday,manhattan
16741,"raining, low of 80F, high of 90F",sunday,manhattan
16742,"raining, low of 70F, high of 90F",monday,durham
16743,"raining, low of 60F, high of 70F",tuesday,durham
16744,"rain, low of 20F, high of 30F",wednesday,durham
16746,"hail, low of 60F, high of 80F",friday,durham
16747,"cloudy, low of 60F, high of 70F",saturday,durham
16748,"clear skies, low of 30F, high of 50F",sunday,durham
16751,"dry, low of 90F, high of 100F",wednesday,fresno
16753,"blizzard, low of 20F, high of 40F",friday,fresno
16754,"humid, low of 90F, high of 100F",saturday,fresno
16755,"dew, low of 70F, high of 80F",sunday,fresno
16756,"dry, low of 60F, high of 70F",monday,san mateo
16757,"dew, low of 30F, high of 40F",tuesday,san mateo
16758,"hail, low of 40F, high of 50F",wednesday,san mateo
16759,"warm, low of 80F, high of 100F",thursday,san mateo
16760,"overcast, low of 80F, high of 100F",friday,san mateo
16762,"cloudy, low of 80F, high of 100F",sunday,san mateo
16764,"clear skies, low of 20F, high of 40F",tuesday,carson
16765,"misty, low of 30F, high of 50F",wednesday,carson
16767,"hail, low of 50F, high of 60F",friday,carson
16768,"clear skies, low of 30F, high of 40F",saturday,carson
16769,"misty, low of 70F, high of 80F",sunday,carson
16770,"dew, low of 60F, high of 80F",monday,boston
16771,"cloudy, low of 70F, high of 80F",tuesday,boston
16774,"misty, low of 20F, high of 30F",friday,boston
16776,"dew, low of 50F, high of 60F",sunday,boston
16780,"humid, low of 90F, high of 100F",thursday,manhattan
16781,"blizzard, low of 30F, high of 50F",friday,manhattan
16782,"clear skies, low of 60F, high of 80F",saturday,manhattan
16783,"dry, low of 20F, high of 40F",sunday,manhattan
16784,"stormy, low of 80F, high of 90F",monday,los angeles
16785,"hail, low of 50F, high of 70F",tuesday,los angeles
16786,"overcast, low of 60F, high of 80F",wednesday,los angeles
16787,"misty, low of 70F, high of 90F",thursday,los angeles
16788,"rain, low of 90F, high of 100F",friday,los angeles
16789,"cloudy, low of 60F, high of 80F",saturday,los angeles
16790,"foggy, low of 30F, high of 50F",sunday,los angeles
16791,"stormy, low of 50F, high of 60F",monday,atherton
16793,"cloudy, low of 30F, high of 50F",wednesday,atherton
16795,"rain, low of 90F, high of 100F",friday,atherton
16796,"dew, low of 80F, high of 90F",saturday,atherton
16797,"dry, low of 80F, high of 90F",sunday,atherton
16798,"clear skies, low of 70F, high of 80F",monday,cleveland
16799,"windy, low of 60F, high of 80F",tuesday,cleveland
16801,"windy, low of 90F, high of 100F",thursday,cleveland
16802,"drizzle, low of 70F, high of 90F",friday,cleveland
16803,"overcast, low of 20F, high of 30F",saturday,cleveland
16805,"foggy, low of 20F, high of 40F",monday,menlo park
16808,"dry, low of 60F, high of 80F",thursday,menlo park
16809,"overcast, low of 60F, high of 70F",friday,menlo park
16810,"overcast, low of 60F, high of 70F",saturday,menlo park
16811,"misty, low of 70F, high of 90F",sunday,menlo park
16812,"raining, low of 90F, high of 100F",monday,durham
16813,"hail, low of 90F, high of 100F",tuesday,durham
16814,"cloudy, low of 50F, high of 60F",wednesday,durham
16815,"warm, low of 70F, high of 80F",thursday,durham
16816,"dry, low of 90F, high of 100F",friday,durham
16817,"snow, low of 80F, high of 90F",saturday,durham
16819,"humid, low of 80F, high of 100F",monday,los angeles
16820,"raining, low of 20F, high of 30F",tuesday,los angeles
16821,"windy, low of 30F, high of 50F",wednesday,los angeles
16824,"cloudy, low of 50F, high of 60F",saturday,los angeles
16825,"cloudy, low of 30F, high of 40F",sunday,los angeles
16826,"foggy, low of 80F, high of 90F",monday,fresno
16827,"raining, low of 50F, high of 60F",tuesday,fresno
16828,"clear skies, low of 70F, high of 90F",wednesday,fresno
16832,"rain, low of 90F, high of 100F",sunday,fresno
16833,"cloudy, low of 60F, high of 80F",monday,seattle
16834,"clear skies, low of 60F, high of 70F",tuesday,seattle
16835,"blizzard, low of 20F, high of 30F",wednesday,seattle
16836,"windy, low of 30F, high of 40F",thursday,seattle
16837,"cloudy, low of 50F, high of 70F",friday,seattle
16839,"overcast, low of 60F, high of 80F",sunday,seattle
16840,"snow, low of 50F, high of 70F",monday,new york
16841,"foggy, low of 40F, high of 50F",tuesday,new york
16842,"clear skies, low of 30F, high of 40F",wednesday,new york
16845,"blizzard, low of 30F, high of 40F",saturday,new york
16847,"cloudy, low of 50F, high of 60F",monday,grand rapids
16848,"dry, low of 40F, high of 60F",tuesday,grand rapids
16850,"foggy, low of 90F, high of 100F",thursday,grand rapids
16851,"dry, low of 20F, high of 40F",friday,grand rapids
16852,"drizzle, low of 90F, high of 100F",saturday,grand rapids
16853,"snow, low of 50F, high of 60F",sunday,grand rapids
16854,"windy, low of 20F, high of 30F",monday,durham
16855,"rain, low of 60F, high of 70F",tuesday,durham
16856,"humid, low of 70F, high of 90F",wednesday,durham
16857,"humid, low of 50F, high of 70F",thursday,durham
16859,"humid, low of 60F, high of 70F",saturday,durham
16861,"drizzle, low of 50F, high of 60F",monday,compton
16862,"raining, low of 20F, high of 30F",tuesday,compton
16863,"raining, low of 50F, high of 60F",wednesday,compton
16864,"clear skies, low of 30F, high of 50F",thursday,compton
16866,"windy, low of 40F, high of 50F",saturday,compton
16867,"dry, low of 60F, high of 80F",sunday,compton
16892,the 7th,date,dentist appointment
16932,"warm, low of 90F, high of 100F",monday,corona
16934,"stormy, low of 80F, high of 100F",wednesday,corona
16935,"foggy, low of 90F, high of 100F",thursday,corona
16936,"windy, low of 60F, high of 70F",friday,corona
16937,"snow, low of 80F, high of 100F",saturday,corona
16939,"foggy, low of 50F, high of 60F",monday,compton
16940,"cloudy, low of 60F, high of 80F",tuesday,compton
16941,"drizzle, low of 70F, high of 90F",wednesday,compton
16942,"dry, low of 40F, high of 60F",thursday,compton
16943,"dry, low of 70F, high of 90F",friday,compton
16944,"dry, low of 40F, high of 60F",saturday,compton
16946,"drizzle, low of 20F, high of 40F",monday,downtown chicago
16947,"foggy, low of 70F, high of 90F",tuesday,downtown chicago
