inputs,outputs
i'm in need of coffee: is there any near my current location? starbucks and teavana are close. which is closer?,teavana is 3 miles away with heavy traffic and starbucks is Starbucks_distance with moderate traffic. which do you prefer?
can you tell me what day and what the agenda is for the business meeting i have in the 100 conference room your business meeting with the executive team in conference room 100 is set for conference_date at 1 pm to discuss to go over budget.  thanks,you are welcome
there will be a blizzard tomorrow in grand rapids? there will not be a blizzard in grand rapids tomorrow.  thanks.,no problem.
what's the forecast for the city this week,"can you tell me what city you are referring to, please?"
"what is the chance of rain next week in what city should i check for rain? carson. there is very high chance of rain in carson next week. there is very high chance of rain in carson next week. there is very high chance of rain in carson next week. you got stuck car, relax! and thank you!",you're welcome.
"i need a reminder for the dinner later this week.  sure, what time is your dinner at? set the dinner for 10 am with marie. later this week like i said before, thanks.","i will set a reminder for dinner at 10 am with marie later this week, what day exactly?"
i want pizza/,"there is a pizza chicago, Pizza_Chicago_distance away with heavy traffic at 915 arbol dr"
i have a doctor appointment next month on the 13th at 11 am with tom. please set a reminder.,"okay, setting a reminder for your doctor's appointment on the 13th at 11 am with tom"
what's the temperature outside like today what location would you like the temperature for? exeter it is 30-40f outside in exeter today. thanks for the information.,you're welcome!
car i need to go to a grocery store: which one is it the closest to me?,we're Trader_Joes_distance away from trader joes and there is no traffic on our way
is it cloudy in the next 7 days,where are you located?
"car i need a gas station! valero is a gas station Valero_distance away at 200 alester ave.  can you set gps and navigate us there? setting navigation now. there is Valero_traffic_info on the road, so drive carefully.  thank you car!",you're welcome!
"find me a nearby shopping mall shopping center the local shopping center is stanford shopping center located at Stanford_Shopping_Center_address.  ok, please direct me there via a route with no traffic.",there is Stanford_Shopping_Center_traffic_info going into 773 alger dr.
where do i live?,your home address is home_address.
"find me parking garages we are Webster_Garage_distance away from webster garage: do you want me to send you the coordinates? sure, and avoid all Webster_Garage_traffic_info please","no problem, i'm here to assist you! the coordinates are on screen, drive carefully!"
what will be the lowest temperature in grand rapids over the next seven days?,the lowest temperature in grand rapids over the next seven days will be 20f on grand_rapids_saturday
please tell me the weather for today and tomorrow,what city do you want the weather for?
what is the temperature what city would you like the temperature for? mountain view for the next 2 days.,mountain view will be seeing temperatures between 90-100f on monday and 60-70f on mountain_view_tuesday.
give me the 7 day weather forecast what city do you need the 7 day forecast for? i need to see if it will rain this week in manhattan please car.,it will rain on manhattan_tuesday in manhattan.
what's the weather going to be like today and tomorrow what city would you like the weather for? can you tell me if it's going to be hot in mountain view?,today in mountain view the temperature is low. tomorrow will be hot with a high of 90f
what's the weekly forecast,what city are you interested in?
what's the forecast going to be for today and tomorrow what city would you like the weather forecast for? i need to know if there will be frost in durham for today and tomorrow car. there will be no frost in durham today or tomorrow.  thank you!,you're welcome!
give me directions to the nearest place where i can have a cup of tea palo alto cafe is 1 mile away at Palo_Alto_Cafe_address please pick a route to avoid all heavy traffic and let's go there!,unfortunately there is a car collision nearby but since we're just Palo_Alto_Cafe_distance away i sent on your screen another route to reach faster
show me the locations of all of the nearby motels,"there are the westin The_Westin_distance away, and the comfort inn and hotel keen, both 5 miles away"
"please give me directions to a nearby parking garage parking lot the closest parking garage is dish parking at 550 alester ave, Dish_Parking_distance away. setting directions now. please pick the route with the shortest distance, thank you!",setting gps now.
what parties am i attending and what are the dates and times?,you have no parties in your calendar.
find me a route with no traffic to the hospital.  the nearest hospital is stanford express care at Stanford_Express_Care_address.  give me the address and the fastest route there,stanford express care is at Stanford_Express_Care_address.
"is there a philz here? i do not have a philz listed at this moment. is there something else i could help you with? some other coffee. cafe venetia and coupa are near. then pick the quickest way to cafe venetia, i desire some italian style espresso coffee! taking you to cafe venetia. thanks, sound great.",you're welcome.
what day is my dentist appointment,"your dentist appointment is on dentist_appointment_date, at 11 am."
what time is my yoga appointment,"monday, 2 pm"
"i need to get groceries. there is a safeway, sigona farmers market, and trader joes nearby. would you give me directions to the grocery store closest or located via the quickest route?","sigona farmers market is the closest, it is 1 mile away at  Sigona_Farmers_Market_address"
are there clear skies in the forecast today,what city would you like to find out if there are clear skies in?
"schedule an optometrist appointment at 2 pm with jon. i will schedule an optometrist appointment at 2pm with jon, for what day? monday sounds good.",scheduled optometrist appointment for monday at 2 pm with jon.
where is a rest stop within 5 miles? four seasons is Four_Seasons_distance away. want the address? yes.,the four seasons is Four_Seasons_distance away at 465 arcadia pl.
"what is the date of my swimming activity and who is attending? i have two, which would you like to know? the one on swimming_activity_date at 6pm with ana or the one on the 20th at 10 am with martha? both.",your swimming activites are scheduled on swimming_activity_date at 6pm with ana and the 20th at 10 am with martha
"are there gonna be clear skies on durham_sunday in durham? no, i'm sorry but on durham_sunday it should rain in durham ouch, thank you car!",glad i could help out
will it be cloudy in san jose this week? this week it's not gonna be cloudy in san jose thanks.,no problem.
will there be a blizzard in seattle this week? there is gonna be no blizzard this week in seattle thank you.,no problem!
what's the temperature going to be for the week where do you want to know the temperature for? san jose,what days are you interested in?
is there a starbucks here? yes it is Starbucks_distance away. what is the address? starbucks is located at Starbucks_address. anything else? set the gps for there please.,"ok, navigating to the starbucks on Starbucks_address now."
find me the address of a shopping center.,"we're near town and country and midtown shopping center, i suggest you the last one because is nearer and there is less traffic on the way"
"pull up directions to 5672 barringer street i don't see 5672 barringer street nearby; can you confirm that that is the destination you want? yes, it should be near me in the direction we're going now",i still do not see 5672 barringer street nearby. home is nearby at home_distance away; do you wish to go there?
can i find a chinese restaurant? i have a chinese restaurant listed at Mandarin_Roots_distance away. i need the shortest route.,the mandarin roots is located Mandarin_Roots_distance away at 271 springer st.
"locate my friends address for me. jill or tom? the closest one, it should be jill if i'm not wrong both jill and tom's homes are 6 miles away. but tom's home located at 580 van ness ave has a route with out any traffic, while the route to jill's home has heavy traffic. let's go to tom's please.",setting navigation to tom's we should be there shortly.
"hi car, help me find out the location, parties attending, and time for my meeting, please.",the location of your meeting is in conference room 100 with your boss at 4pm.
"can you find me the closest hospital to me? the closest hospital, stanford express care is Stanford_Express_Care_distance from your location how's the traffic? there is a Stanford_Express_Care_traffic_info. can we avoid the collision?","yes, i can help you avoid the collision."
"get me directions to the grocery store 819 alma st is the address for whole foods which is Whole_Foods_distance away give me the route with no traffic please.  there is a Whole_Foods_traffic_info but this is the only route i can find to the whole foods ok, that's fine so long as its via the quickest available route.","setting gps, we will be there shortly."
where can i get pizza? you can get pizza at two places; pizza my heart which is one mile away or papa johns 5 miles away. which do you prefer? what is the address of pizza my heart? pizza my heart is located at Pizza_My_Heart_address.  thanks!,"you're welcome, have a good day."
what is the date of the next vaccination,the next vaccination date is on thursday at 1 pm
"find me parking garages we are Webster_Garage_distance away from webster garage: do you want me to send you the coordinates? sure, and avoid all Webster_Garage_traffic_info please","no problem, i'm here to assist you! the coordinates are on screen, drive carefully!"
is it gonna be humid in grand rapids on grand_rapids_wednesday?,it will be stormy in grand rapids on grand_rapids_wednesday.
take me to the nearest chinese restaurant there are jing jing Jing_Jing_distance away and panda express 6 miles away: since there is no traffic on the route to panda express i vote for its chicken with orange and shrimps with nuts. what is the address of jing jing. jing jing is at Jing_Jing_address. set gps for a route with no traffic please. the only route to jing jing has Jing_Jing_traffic_info. is that okay? yes that's fine. please set the gps.,gps is set to jing jing at Jing_Jing_address.
what time is the football game,the football game starts at 11 am friday morning.
is the weather cloudy right now,what city are you located in so i could check to see if it's cloudy outside today?
give me directions to the local coffee shop thre is coupa at 394 van ness ave. it's Coupa_distance away but there is no traffic on the route thanks.,you're welcome!
"navigate to the closest restaurant the closest restaurant is a chinese spot that is Chef_Chu's_distance away. would you like the name and address of it? yes please and avoid all Chef_Chu's_traffic_info please. it appears the only chinese restaurant in the area has Chef_Chu's_traffic_info. do you still want the info? yes please, thank you chef chu's is located at Chef_Chu's_address. is that all you needed? yes, thank you car, please set the gps to reach there",you're welcome!
"get me the home address of my friend that is the closest to my location. we're jacks_house_distance away from jack's house, i sent his address' position on your screen what is the address?",jacks_house_address
what's the weather going to be like today and tomorrow what city do you want the weather for? will it be raining in inglewood today or tomorrow?,no rain is in the forecast for inglewood for today or tomorrow.
will it be hot in redwood city on redwood_city_monday? there will be a high of 80f and a low of 70f in redwood city on redwood_city_monday.  thank you,you're welcome.
"remind me about a optometrist appointment on tuesday at 2 pm, my sister will be coming will set a reminder for optometrist appointment on tuesday at 2pm with sister. okay great, thanks so much!",happy to help
what's the weather forecast for the next week,what city do you need next weeks weather forecast for?
what grocery stores are around? trader joes is Trader_Joes_distance away. sounds great! please pick a route with no traffic and let's go there! there is Trader_Joes_traffic_info to trader joes at 408 university ave. ok that will have to do. set the gps please.,"alright, heading to trader joes"
who is going to my optometrist appointment and what time is it?,"you have three optometrist appointments. one on optometrist_appointment_date at 1pm with your aunt, another on the 13th at 5pm with alex, and the last is on thursday at 10am with marie."
schedule a lab appointment with my aunt for the 7th at 1pm. your lab appointment with your aunt for the 7th at 1pm has been promptly scheduled!  thanks!,you are welcome.
"find a coffee shop near me please. we're Starbucks_distance away from starbucks: set the navigation there? what is the address? the address for starbucks is Starbucks_address okay great, thank you!","you're welcome, happy to help."
i would like to schedule a meeting on the 12th what is my agenda for that day,here is your agenda for the 12th.
"i need directions to a local fast food restaurant please there is pizza hut Pizza_Hut_distance away: would it be good for your hunger? yes, give me the address. the address to pizza hut is Pizza_Hut_address. sounds great. navigate me there please.","sure, i sent the info on your screen, drive carefully!"
please guide me to the closest parking garage.,the nearest parking garage is civic center garage at 270 altaire walk Civic_Center_Garage_distance away. please be aware that a road block has been reported.
can you find me the fastest route to a parking garage?,dish parking  is Dish_Parking_distance away.
get the address to my home that is within 3 miles and hurry.,"your home is home_distance away, i sent its position on your screen, drive carefully!"
check the date and time of my doctor's appointment your doctor's appointment is on friday at 1 pm. thank you,you are welcome.
"i need to know when my football activity is and with whom.  jon will be attending your football activity on football_activity_date at 9 am okay great, thank you!",you are welcome
i need a hospital within 5 miles of me and the quickest route please.,stanford express care is located at Stanford_Express_Care_address. would you like directions there?
"car i'm looking for a pizza restaurant within 4 miles of my actual position, possibly with Round_Table_traffic_info round table serves pizza and is Round_Table_distance away and currently has no traffic on route. then let's go there, thank you car!",you're welcome!
"take me to a chinese restaurant there is a chef chu's Chef_Chu's_distance away and jing jing 6 miles away, which do you prefer? how's the traffic to them? there is a car collision before reaching both places, but i might find another route if you tell me which one you prefer i just want the one that has the fastest route",chef chu's is Chef_Chu's_distance away at 593 arrowhead way. setting navigation now.
find me a gas station that i could get to with the least amount of traffic. there is a chevron 1 mile away. where is it located?,chevron is at Chevron_address.
confirm that the meeting for the 12th this month is on at approximately 5 pm,yes i'm confirmed your meeting for 5pm the 12th of this month
"check the weather for the 7 day forecast what city would you like to hear the 7 day weather forecast for? i need to know if it is going to be raining in the next 7 days, for grand rapids.  it will be raining on monday, saturday, and grand_rapids_sunday in grand rapids this week. thanks.",you're welcome!
"are there gonna be clear skies on durham_sunday in durham? no, i'm sorry but on durham_sunday it should rain in durham ouch, thank you car!",glad i could help out
"where's the nearest shopping mall the midtown shopping center is located 1 mile away. would you like directions there? yes sounds great.  its address is 383 university ave, there is heavy traffic on the route and i already sent the quickest one on your screen ok, please give me directions via the fastest available route.  the current route is the fastest one available. then let's use this, thank you car!",you're welcome!
what is the date and time for my doctor appointment?,"you have three doctor appointments scheduled. one on the 4th at 6pm, another on the 5th at 5pm, and the last one doctor_appointment_date at 1pm."
"please give me the address and directions via the quickest route to the nearest gas station.  the valero and shell are both Shell_distance away, but there is a road block nearby. do you prefer one one? let's try to go to shell. okay, there is moderate traffic on the route to shell. you will find it at Shell_address ok car assitant, plot the quickest route to shell.",setting navigation to shell now.
can you find me the fastest route to a pizza restaurant?,"the pizza hut is located 5 miles away in heavy traffic, and papa johns is Papa_Johns_distance away in moderate traffic. which of these would you prefer?"
tell me the weather report for san_mateo_tuesday in san mateo,it will snow in san mateo on san_mateo_tuesday.
is there rain on compton_sunday,what city would you like the forecast for?
show me this week's forecast,which city would you like a weekly forecast of?
take me to the nearest grocery store,"the nearest grocery store is Whole_Foods_distance away, whole foods at 819 alma st."
"tell me the weather for this week what city do you want to know about? i want to know if it will be warm in boston it's not gonna be warm in boston this week okay, thank you",you're welcome.
please give me directions to the nearest starbucks,the nearest starbucks is Starbucks_distance away at 792 bedoin street.
what's the weather going to be like in the city on seattle_thursday in what city are you inquiring? i need the weather for seattle_thursday. i am in seattle.  in seattle it will be raining on seattle_thursday okay thanks.,you're welcome!
what is the date and time for my doctor appointment?,your doctor's appointment is on doctor_appointment_date at 7 pm.
will there be dew in danville today?,today's weather forecast in danville calls for stormy weather.
"show me the nearest shopping mall we are Stanford_Shopping_Center_distance away from stanford shopping center: does it sound good to you? give me the address. the address is Stanford_Shopping_Center_address, i sent it on your screen set gps for a route without any traffic. there is Stanford_Shopping_Center_traffic_info but you should be able to reach it fast anyway is there an alternate mall with no traffic on the route? no that's the closest and fastest available.  ok, thanks. set the gps for there please.","gps is set for stanford shopping center, at 773 alger dr, 1 mile away with Stanford_Shopping_Center_traffic_info."
what is the weather like in the city  which city do you want the weather for? will it hail in alameda today?,"today in alameda is gonna be drizzle, with low temperature of 70f, and high of 90f"
"what is the weather for the next 7 days in what city are you? cleveland. in cleveland it will be rain on monday, blizzard on tuesday, raining on wednesday, foggy on thursday, overcast on friday, cloudy on saturday, lowest temperature on cleveland_sunday thanks.",no problem.
give me the weekly weather forecast please tell me what city you would like the weather forecast for? menlo park is where i need to know about.,the weather in menlo park is going to be mostly rain with the highs in the 70s and lows in the 20s.
what's the weekly weather report for the city,what city are you interested in?
car i wanna go to a grocery store! sure! we're 5 miles away from trader joes and Sigona_Farmers_Market_distance away from sigona farmers market: which one do you prefer? which has less traffic?,sigona farmers market is the best option available at 638 amherst st with Sigona_Farmers_Market_traffic_info noted.
where is the closest place to eat,there is a pizza restaurant 3 miles away and a couple chinese restaurants a little farther. what would you like to eat?
"is there a nearby rest stop? hotel keen and the westin are both nearby. which has the least amount of traffic at the moment. they both have none. what is the address for keen? 578 arbol dr, we're Hotel_Keen_distance away from it. set the navigation there? yes, sounds great.",alright
"please give me the address and directions via a route that avoids all heavy traffic to a hospital around here.  stanford childrens health is the only hospital that i can find. it is located at 899 ames ct Stanford_Childrens_Health_distance away okay, send me a route there that avoids all heavy traffic",the current route does not have any traffic
"find me a nearby parking garage or parking lot civic center garage is nearby. what is the address? 270 altaire walk. the garage is Civic_Center_Garage_distance away and you should be able to reach it quickly despite the moderate traffic sounds like a plan, thank you.",you are welcome.
"schedule  a reminder that i have an optometrist appointment at 4 pm with alex next month on the 13th. okay, scheduling a reminder for your optometrist appointment at 4 pm next month on the 13th with alex. thanks.",you are welcome.
navigate to the nearest coffee shop we're 6 miles away from starbucks and there is a road block nearby: do you want to go there anyway? is starbucks the closest coffee shop?,"the closest coffee shop is cafe venetia, 1 miles away."
where can i get chinese food? there is panda express Panda_Express_distance away but there is also a road block nearby oh no is there any other options?,"i'm afraid there are no other options nearby but i sent another route on your screen, you should be able to reach there fast enough"
i need groceries. whole foods and safeway are close. which has less traffic?,"whole foods at 819 alma st has Whole_Foods_traffic_info, while the other option goes through heavy traffic"
get me directions to the nearest chinese restaurant,tai_pan_distance away there is road block nearby the tai pan chinese restaurant located at 830 almanor ln
set reminder for laboratory request on this month on the 12th,"okay, what time should i set your reminder?"
please give me the address and directions via a route with Dominos_traffic_info to the nearest pizza restaurant.,dominos is at 776 arastradero rd. it is Dominos_distance away with no traffic. setting directions now.
can you schedule in my dentist appointment today,"yes i can, for what time would you like that?"
"find out if it is misty in seattle today. yes, it is misty in seattle today this isn't good at all but thank you car!","i'm sorry, i wish i could always give you only good news"
"where can i get tea? coupa is Coupa_distance away, palo alto cafe is 4. what is coupas address? coupa is at Coupa_address. thanks!",anytime!
in the next 48 hours will it rain in alhambra?,just a little: the weather in alhambra will be drizzle today and overcast tomorrow
"i'm taking medicine on the 7th setting a reminder to take your medicine on the 7th, what time should i add? please set it for 3pm. my aunt will also be there.","okay, setting a reminder to take medicine on the 7th at 3 pm with your aunt."
where's the conference happening? who's going to be there and what are we talking about?,"you have several conferences on your schedule, which one in particular would you like information about?"
"tell me when my dentist appointment is your dentist appointment is this dentist_appointment_date at 7pm. perfect, thanks so much!",you're welcome
is there snow in the forecast for the week,can you tell me what location you need this forecast for?
schedule a lab appointment with ana for the 3rd at 2pm.,reminder set for lab appointment on the 3rd at 2 pm with ana.
what is the date and time of the conference the conference is at 10 am on conference_date. thank you.,no problem!
what's the weather going to be like today what city are you inquiring about? will it drizzle in iniglewood?,it might rain in inglewood on inglewood_tuesday
what day is my meeting?  your meeting is meeting_date at 7 pm.  who is attending?,you are attending the meeting with meeting_party.
"is there a rest stop near me? a rest stop is located at 333 arbol dr. Travelers_Lodge_distance away with moderate traffic called the travelers lodge.  let's go there, thank you car!","heading to travelers lodge, you're welcome!"
"what's the weather like for what city would you like to know the weather for? find out if it is humid in new york, this new_york_tuesday. new_york_tuesday in new york should not be humid, frost is predicted with a high of 40f. thanks.",anytime.
what's on the agenda for today's meeting your meeting_date meeting's agenda is to go over the budget. thank you,i am happy to help.
"where do i live? your home address is home_address. please show me a quick route to come back home, thank you in this moment there is home_traffic_info but i sent on your screen the fastest route ok thanks. let's go.",you're welcome.
"can i get the two day weather report what city would you like to know about? inglewood, will it snow anytime in the next two days the weather forecast in inglewood today shows a blizzard, while tomorrow there will be frost. thanks.",have a good day.
"take me to the nearest grocery store the nearest grocery store is Whole_Foods_distance away, whole foods at 819 alma st. please give directions to that store by the fastest route. thank you.",setting navigation now.
is there a place that serves coffee near me? there is a philz coffee Philz_distance away. what is the address?,"Philz_address, i sent the info on your screen"
will it be misty in los angeles today?,"no, today is gonna be cloudy in los angeles"
i need to find a shopping center.  the stanford shopping center at 773 alger dr is Stanford_Shopping_Center_distance away in no traffic. would you like directions there? yes please.,"i sent all the info on the screen, please drive carefully!"
"schedule a football activity with martha on sunday at 4pm. okay, i am now scheduling a football activity with martha on sunday at 4pm. great, thanks.",glad to help
"find out immediately the location, time, and date for my meeting.","for which one? i have one in conference room 100 at 10am on friday, and one in conference room 50 at 10 am on saturday."
"will it be overcast today in grand rapids? no, today is gonna be foggy in grand rapids thank you",you're welcome
"where can i get some tea? i have a location that serves tea and is Starbucks_distance away. would you like more info on it? please send me its address on screen and pick a route to avoid all heavy traffic, thank you!","we're going at starbucks, since there is Starbucks_traffic_info we should reach in 3 to 4 minutes. drive carefully!"
remind me to go to the optometrist at 5pm today with my father.,i will remind you to go to the optometrist today at 5pm with your father.
"schedule an optometrist appointment at 2 pm with jon. i will schedule an optometrist appointment at 2pm with jon, for what day? monday sounds good. scheduled optometrist appointment for monday at 2 pm with jon.  great, thank you.",glad to help
i need a quick route to a gas station.,76 is 76_distance away with no traffic at 91 el camino real.
"car please bring me to my friends house, it should be near me i have a location for jack's house. is that the destination you are looking for? yes that would be the one i need, make sure i don't have to deal with any traffic.",jack's house has moderate traffic but only 1 mile away at 864 almanor ln.
find out if it's going to be cloudy next week,which city are you wondering about the cloudy forecast for?
"find weekly weather forecast  which city do you want the weather for? i would like to have it for san francisco please this week in san francisco it will be foggy on monday, dry on tuesday, humid on wednesday, hot on thursday and friday, hail on saturday, and stormy on san_francisco_sunday. okay so there will be a foggy day this week, that covers it, thank you.",you're welcome!
find out if it will be cloudy on cleveland_monday in cleveland. it will be clear on cleveland_monday in cleveland. thank you very much.,you are very welcome.
make an appointment for me to get my laboratory results later this week,what day  would  you like that  scheduled
"remind me about my optometrist appointment with my father on the 29th, at 7 pm okay, i will be sure to remind you about that. is there anything else? list my current reminders.",you have an optometrist appointment on the 29th at 7pm. your father is attending
give me directions to a coffee shop,"there is a coffee shop, teavana,  1 mile away"
i'm looking for a place where i can have some coffee. i have a few coffee places listed. which one would you like to know about? any within 5 miles?  philz is only Philz_distance away. what is the address?,philz is at Philz_address.
please schedule me an optometrist appointment at 2pm this week with jon.,set reminder for optometrist appointment at 2 pm this week with jon. do you know what date exactly?
find a coffee shop near me please. we're Starbucks_distance away from starbucks: set the navigation there? what is the address?,the address for starbucks is Starbucks_address
find the address of my closest friends house.,jack is closest and his address is 864 almanor ln.
"search for nearby starbucks there is no starbucks nearby. how about other coffee? there is a coffee place Philz_distance away. do you need the address and name? yes, please, send those info on my screen and pick a quick route to go there, thank you! philz is a coffee shop located at Philz_address. setting your gps for the quickest route possible now. thank you car!",you are welcome.
is it snowing next week what city would you like to know if it will be snowing in? compton. it will not snow in compton next week. thanks,not a problem.
will it be misty in alhambra on alhambra_monday?,there will be no mist in alhambra on alhambra_monday; the weather forecast calls for clear skies.
tell me the time of today's meeting the meeting is at 7pm  perfect.,anything else?
"what is the date and time for dinner? for which one? i have you set for three. the soonest one please.  i have the soonest dinner listed for 8pm on the 2nd with your dinner_party.  thanks. you are welcome driver. :), great.","very good, goodbye."
what is the temperature outside,for what city do you want the current temperature for?
"what is the weather like today what city do you want to hear the weather for? i need today's weather for cleveland, and i need to know if it will be misty.","no, today it's not gonna be misty in cleveland, the prediction calls for rain"
what is the date and time of my opoptometrist_appointment_partyetrist appointment?,"you have three optometrist appointments scheduled. one one saturday at 9am, another on optometrist_appointment_date at 7pm, and one more on tuesday at 9am."
what is the date and time of my optometrist appointment?,you have two optometrist appointments scheduled; one on the 2nd at 9 am and one on optometrist_appointment_date at 10 am.
what is today's forecast what city do you want the weather forecast for? will it rain in compton? it will rain on compton_saturday in compton. thank you.,you're welcome.
who is going to play tennis with me?  tennis_activity_party will be attending your tennis activity what time will we be meeting for this?,at 7 pm.
when is my tennis activity?,you have a tennis activity on tennis_activity_date at 6pm and sunday at 9am.
get me directions to the nearest shopping mall,we're Stanford_Shopping_Center_distance away from stanford shopping center but there is a road block nearby
who will be at my lab appointment and what day is it?,your sister will be at your lab appointment on lab_appointment_date.
"can you find me the fastest route to a pizza restaurant? the pizza hut is located 5 miles away in heavy traffic, and papa johns is Papa_Johns_distance away in moderate traffic. which of these would you prefer? let's try papa johns tonight.  setting the gps for papa john's anything else? give me the address and the details for the fastest route there, please.","ok, setting navigation to Papa_Johns_address now. enjoy!"
what are the directions to the nearest hospital,the nearest hospital is stanford childrens health which is Stanford_Childrens_Health_distance away and it has heavy traffic.
please give me the address and directions via a quick route to my friend's house.,"jills house is located at 347 alta mesa ave, jills_house_distance away. there is currently a road block nearby. setting directions now."
i need the quickest route to a gas station please.  the quickest route to a gas station is through Valero_traffic_info. would you like more info? yes please send me the address and how's the traffic? valero is at 200 alester ave and there is Valero_traffic_info. thank you.,you are welcome.
find out the date and time for my swimming activity.,"you have three swimming activities scheduled. one on friday at 4pm, another on the 15th at 10am, and the last is on swimming_activity_date at 5pm."
what is the date location and time of my next conference,your next conference is at 2pm conference_date in the 100 conference room.
please give me the address and directions via the shortest distance to a rest stop around here.,"the comfort inn is Comfort_Inn_distance away at 753 university ave, there is no traffic on this route"
"what is the weather for next week what city do you want the weather for? redwood city in redwood city, it is expected to be 70-80f on monday, 40-60f on tuesday, 90-100f on wednesday, 70-80f on thursday, 80-90f on friday, 90-100f on saturday, ,and 30-4f on redwood_city_sunday. will it be cloudy any day of the week?","yes, it will be cloudy in redwood city on monday and redwood_city_sunday."
"where is my meeting, which parties will be attending, and what is the meeting about? your meeting with the meeting_party in in conference room 50 to go over the quarterly report. please set a reminder for this, thank you! currently you have tmeeting_partyee meetings schedules. the first is in conference room 50 with the infrastructure team about the quarterly report. the next is in conference room 102 with meeting_party about signing the nda. and the last is in conference room 100 with the executive team about signing the nda as well. thanks!",do you need to add any additional reminders?
in new york will it be foggy this week? the weather is not predicted to be foggy in new york this week thank you very much!,glad i could help out
"is it snowing next week in which city do you want to know if it will snow? i'm in grand rapids, find out if there will be snow this week.",the only snow predicted in grand rapids this week is the blizzard on grand_rapids_sunday.
"directions to a hotel please.  the westin is located The_Westin_distance away and the hotel keen 6 miles away. would you like directions to one of those? give me the quickest route to the westin please.  there is The_Westin_traffic_info, would you like me to put it on your screen? yes, please.",setting route now.
show me the locations of all of the nearby motels,"there are the westin The_Westin_distance away, and the comfort inn and hotel keen, both 5 miles away"
what's the forecast in brentwood for brentwood_sunday? brentwood_sunday in brentwood is the weather should be rainy with a low of 60f and high of 70f thank you car!,you're welcome
schedule a swimming activity with jon on thursday at 4 pm. setting a reminder for a swimming activity on thursday at 4 pm with jon.  thanks.,have a great day.
what is the weather next week,what city are you wanting to know the weather for?
"what is the weather forecast for new_york_wednesday through tuesday of next week what city would you like to hear the weather information for new_york_wednesday through tuesday of next week? will you find out if it will be cloudy in new york on new_york_tuesday please no, it is not predicted to be cloudy n new_york_tuesday in new york thank you car.",i'm here to assist you!
car i need a gas station! valero is a gas station Valero_distance away at 200 alester ave.  can you set gps and navigate us there?,"setting navigation now. there is Valero_traffic_info on the road, so drive carefully."
will it rain anytime in the next week what city would you like to know this information for? camarillo.,it will be raining on camarillo_tuesday in camarillo.
"please let me know the weather forecast for tomorrow where would you like to hear the forecast from? fresno, please",it will rain tomorrow and be between 90-100f in fresno.
where can i get tea? i have a couple listings for tea places. which are you interested in? the closest one.,palo alto cafe	is Palo_Alto_Cafe_distance away.
please tell me the weather for today and what the weather will be tomorrow,what city are you in?
is it going to rain today,what city would you like me to find out about rain in?
what's the weekly weather report for the city what city would you like the weekly weather report for? will it be humid in corona next week?,the forecast for corona_thursday is supposed to be humid for carson.
can you tell me who's attending my next tennis activity? also the date?,
"directions to the parking garage the closest parking garage is dish parking, would you like directions? yes, please give me the quickest route.  i'm sorry. i have searched and found another parking garage that is only Webster_Garage_distance away because both have heavy traffic. would you like that address instead? that will work fine, sure, thank you car, set the navigation there too setting navigation to webster garage.  thanks!",no problem.
"what's the weekly weather report for the city what city would you like weather information for? cleveland in cleveland, it will be 60-70f on monday, 80-100f tuesday, 90-100f wednesday, 40-60f thursday, 90-100f friday, 40-60f saturday, and 80-90f cleveland_sunday. thanks.",anytime!
"are there any hospitals near me palo alto medical foundation	is Palo_Alto_Medical_Foundation_distance away. please pick the quickest route and send it on my map, thank you!",here is the quickest route to palo alto medical foundation.
"navigate to my friend's home please do you know the address of friend's home? actually i need to go home, the quickest route please.  the quickest route home is home_distance away with heavy traffic located at 5671 barringer street. thanks. the quickest route to home is in home_traffic_info.  ok well set the gps to there please. setting navigation to home_address now thank you so much car!",you're welcome!
"when am i taking my medicine is this with jon or tom? jon you are taking your medicine with jon, at 6pm on the 9th. thanks!",you are welcome
will it rain anytime in the next week where would you like me to check to see if it will be raining during the week? check compton for me.,it will rain on compton_thursday in compton.
"what parties are on the calendar, what time are they, and where are they being held? there are no parties scheduled what time is my meeting, where is it and who will be there.",you have two meetings scheduled on the calendar. the first meeting is on meeting_date at 11am with the vice president in conference room 100.  the second meeting is at 4pm with management in conference room 50.
is there going to be hail in los angeles this weekend? on los_angeles_sunday hail is predicted to fall in san mateo thanks.,there is a chanel of hail on los_angeles_sunday in los angeles.
what time is my meeting,1pm
give me directions to the nearest place to get to eat,we are Pizza_Chicago_distance away from pizza chicago: do you want me to give you its address?
remind me about my football activity with my father at 5 pm.,setting a reminder for your football activity with your father at 5 pm.
schedule a optometrist appointment with my sister next week at 10am.,"okay, im scheduling a optometrist appointment with your sister for next week at 10am? do you have a specific day in mind?"
schedule tennis for 10am on the tenth with tom setting reminder for tennis at 10 am on the tenth with tom. thanks.,my pleasure.
where is the nearest rest stop? nearest rest stop is 3 miles away. how is the traffic there? there is moderate traffic. what is the address? the address is 578 arbol dr. thanks.,no problem.
"what is the weather like in new york city what would you like to know about the weather in new york? what will the temperature be on new_york_thursday? on new_york_thursday the temperature in new york will be low of 90f, and high of 100f thank you very much car!",you're welcome!
is there snow in the forecast for the week,what city do you want the forecast for?
show me what time i need to take my pills,you need to take your medicine at medicine_time.
